COM COD,COURSE NO.,COURSE TITLE,CREDITS,SEC,ROOM,DAYS & HOURS,INSTRUCTOR,MIDSEM,COMPRE
2863,BIO F101,INTRO TO BIO SCI,2-1-3,L1,5102,M W 2,"SHILPI GARG, Meghana Tare, Prabhat Nath Jha",10/03 FN2,05/05 AN
2863,BIO F101,INTRO TO BIO SCI,2-1-3,L2,5102,M W 4,"Shilpi Garg, Meghana Tare, Prabhat Nath Jha",10/03 FN2,05/05 AN
2863,BIO F101,INTRO TO BIO SCI,2-1-3,T1,6154,F 1,Shashi Prakash Singh,10/03 FN2,05/05 AN
2863,BIO F101,INTRO TO BIO SCI,2-1-3,T2,6157,F 1,Sushmita Basu,10/03 FN2,05/05 AN
2863,BIO F101,INTRO TO BIO SCI,2-1-3,T3,6108,F 1,Meghana Tare,10/03 FN2,05/05 AN
2863,BIO F101,INTRO TO BIO SCI,2-1-3,T4,6158,F 1,Shilpi Garg,10/03 FN2,05/05 AN
2863,BIO F101,INTRO TO BIO SCI,2-1-3,T5,6159,F 1,B Vani,10/03 FN2,05/05 AN
2863,BIO F101,INTRO TO BIO SCI,2-1-3,T6,6160,F 1,P. Yadukrishnan,10/03 FN2,05/05 AN
2863,BIO F101,INTRO TO BIO SCI,2-1-3,T7,6161,F 1,Jitendra Panwar,10/03 FN2,05/05 AN
2863,BIO F101,INTRO TO BIO SCI,2-1-3,T8,6153,T 7,Sushmita Basu,10/03 FN2,05/05 AN
2863,BIO F101,INTRO TO BIO SCI,2-1-3,T9,6156,T 8,B Vani,10/03 FN2,05/05 AN
2863,BIO F101,INTRO TO BIO SCI,2-1-3,T10,6158,T 9,Mukul Joshi,10/03 FN2,05/05 AN
2863,BIO F101,INTRO TO BIO SCI,2-1-3,T11,6159,T 9,Jigneshkumar Dahyabhai ..,10/03 FN2,05/05 AN
2863,BIO F101,INTRO TO BIO SCI,2-1-3,T12,6102,T 9,Prabhat Nath Jha,10/03 FN2,05/05 AN
2863,BIO F101,INTRO TO BIO SCI,2-1-3,T13,6109,T 9,Jitendra Panwar,10/03 FN2,05/05 AN
2863,BIO F101,INTRO TO BIO SCI,2-1-3,P1,2217,M 6 7,"Vishal Saxena, Poorva Saxena(RS)",10/03 FN2,05/05 AN
2863,BIO F101,INTRO TO BIO SCI,2-1-3,P2,2217,F 6 7,"SUDESHNA MUKHERJEE (Co), Sushama Biswas(RS)",10/03 FN2,05/05 AN
2863,BIO F101,INTRO TO BIO SCI,2-1-3,P3,2217,F 3 4,"Sushmita Basu, Abha Gupta(RS)",10/03 FN2,05/05 AN
2863,BIO F101,INTRO TO BIO SCI,2-1-3,P4,2217,M 1 2,"Manjil(RS), Rahul Bhati(RS)",10/03 FN2,05/05 AN
2863,BIO F101,INTRO TO BIO SCI,2-1-3,P5,2217,W 1 2,"P. Yadukrishnan, Mukul Srivastava(RS)",10/03 FN2,05/05 AN
2863,BIO F101,INTRO TO BIO SCI,2-1-3,P6,2217,Th 6 7,"Viraaj Kumar Kulshres..(RS), Shibasish Chowdhury",10/03 FN2,05/05 AN
2863,BIO F101,INTRO TO BIO SCI,2-1-3,P7,2217,T 1 2,"Himanshi Kumari(RS), Mohit Gupta(RS)",10/03 FN2,05/05 AN
2863,BIO F101,INTRO TO BIO SCI,2-1-3,P8,2217,T 3 4,"Satya Omprabha(RS), Himadri Sharma(RS)",10/03 FN2,05/05 AN
2863,BIO F101,INTRO TO BIO SCI,2-1-3,P9,2217,T 6 7,"Charudutt Poonia(RS), Sandhya Amol Marathe",10/03 FN2,05/05 AN
2863,BIO F101,INTRO TO BIO SCI,2-1-3,P10,2217,Th 3 4,"Himanshi Kumari(RS), Aniket Rana(RS)",10/03 FN2,05/05 AN
2863,BIO F101,INTRO TO BIO SCI,2-1-3,P11,2217,F 1 2,"Jigneshkumar Dahyabhai .., Gitika Sharma(RS)",10/03 FN2,05/05 AN
2863,BIO F101,INTRO TO BIO SCI,2-1-3,P12,2217,W 3 4,"Saswata Rath(RS), Mohit Rana(RS)",10/03 FN2,05/05 AN
2863,BIO F101,INTRO TO BIO SCI,2-1-3,P13,2217,W 6 7,"Rajdeep Chowdhury, Garge Nachiket Dattat..(RS)",10/03 FN2,05/05 AN
1001,BIO F110,BIOLOGY LABORATORY,--2-1,P1,CANCLED,,,,
1001,BIO F110,BIOLOGY LABORATORY,--2-1,P2,CANCLED,,,,
1001,BIO F110,BIOLOGY LABORATORY,--2-1,P3,CANCLED,,,,
1001,BIO F110,BIOLOGY LABORATORY,--2-1,P4,CANCLED,,,,
1001,BIO F110,BIOLOGY LABORATORY,--2-1,P5,CANCLED,,,,
1001,BIO F110,BIOLOGY LABORATORY,--2-1,P6,CANCLED,,,,
1001,BIO F110,BIOLOGY LABORATORY,--2-1,P7,CANCLED,,,,
1001,BIO F110,BIOLOGY LABORATORY,--2-1,P8,CANCLED,,,,
1001,BIO F110,BIOLOGY LABORATORY,--2-1,P9,CANCLED,,,,
1001,BIO F110,BIOLOGY LABORATORY,--2-1,P10,CANCLED,,,,
1001,BIO F110,BIOLOGY LABORATORY,--2-1,P11,CANCLED,,,,
1001,BIO F110,BIOLOGY LABORATORY,--2-1,P12,CANCLED,,,,
1001,BIO F110,BIOLOGY LABORATORY,--2-1,P13,CANCLED,,,,
1002,BIO F111,GENERAL BIOLOGY,3---3,L1,5102,M W 2,SHILPI GARG,10/03 FN2,05/05 AN
1002,BIO F111,GENERAL BIOLOGY,3---3,T1,6154,F 1,Shashi Prakash Singh,10/03 FN2,05/05 AN
1002,BIO F111,GENERAL BIOLOGY,3---3,T2,6157,F 1,Sushmita Basu,10/03 FN2,05/05 AN
1002,BIO F111,GENERAL BIOLOGY,3---3,T3,6108,F 1,Meghana Tare,10/03 FN2,05/05 AN
1002,BIO F111,GENERAL BIOLOGY,3---3,T4,6158,F 1,Shilpi Garg,10/03 FN2,05/05 AN
1002,BIO F111,GENERAL BIOLOGY,3---3,T5,6159,F 1,B Vani,10/03 FN2,05/05 AN
1002,BIO F111,GENERAL BIOLOGY,3---3,T6,6160,F 1,P. Yadukrishnan,10/03 FN2,05/05 AN
1002,BIO F111,GENERAL BIOLOGY,3---3,T7,6161,F 1,Jitendra Panwar,10/03 FN2,05/05 AN
1002,BIO F111,GENERAL BIOLOGY,3---3,T8,6153,T 7,Sushmita Basu,10/03 FN2,05/05 AN
1002,BIO F111,GENERAL BIOLOGY,3---3,T9,6156,T 8,B Vani,10/03 FN2,05/05 AN
1002,BIO F111,GENERAL BIOLOGY,3---3,T10,6158,T 9,Mukul Joshi,10/03 FN2,05/05 AN
1002,BIO F111,GENERAL BIOLOGY,3---3,T11,6159,T 9,Jigneshkumar Dahyabhai ..,10/03 FN2,05/05 AN
1002,BIO F111,GENERAL BIOLOGY,3---3,T12,6102,T 9,Prabhat Nath Jha,10/03 FN2,05/05 AN
1002,BIO F111,GENERAL BIOLOGY,3---3,T13,6109,T 9,Jitendra Panwar,10/03 FN2,05/05 AN
1423,BIO F215,BIOPHYSICS,3---3,L1,6156,T Th F 2,"SHIBASISH CHOWDHURY, Sandipan Dutta",09/03 FN1,02/05 FN
1423,BIO F215,BIOPHYSICS,3---3,T1,6164,F 9,"Shibasish Chowdhury, Sandipan Dutta",09/03 FN1,02/05 FN
1779,BIO F231,BIOLOGY PROJECT LAB,----3,L1,6164,F 10,"SHILPI GARG, Prabhat Nath Jha",13/03 FN2,13/05 AN
1779,BIO F231,BIOLOGY PROJECT LAB,----3,P1,3254_I,M W 9 10,"Shilpi Garg, Prabhat Nath Jha, Sonali J Jain(RS), Abhimanyu Kumar(RS), Shelly Chauhan(RS), Lourdes Jennifer S(RS)",13/03 FN2,13/05 AN
1424,BIO F241,ECOLOGY & ENVIRON SCI,3---3,L1,6161,M W 4 T 10,"B VANI, Sandhya Amol Marathe",12/03 FN1,11/05 FN
1424,BIO F241,ECOLOGY & ENVIRON SCI,3---3,T1,6151,T 1,"B Vani, Sandhya Amol Marathe",12/03 FN1,11/05 FN
